cell_id,cell_type,cell_color
1,B Cell,"[255, 127, 14]"
2,Basal Epithelial Cell,"[44, 160, 44]"
3,CD4+ T Cell,"[214, 39, 40]"
4,CD8+ T Cell,"[148, 103, 189]"
5,Endothelial,"[140, 86, 75]"
6,Lymphatic Endothelial Cell (and some immune cells),"[227, 119, 194]"
7,Macrophage,"[127, 127, 127]"
8,Mast Cell,"[188, 189, 34]"
9,Neutrophil,"[23, 190, 207]"
10,Smooth Muscle Cell,"[174, 199, 232]"
11,Type 1 Alveolar Epithelial Cell,"[255, 187, 120]"
12,Type 2 Alveolar Epithelial Cell,"[152, 223, 138]"
13,Blood endothelial,"[255, 0, 0]"
14,B Cell_link,"[255, 127, 14]"
15,Basal Epithelial Cell_link,"[44, 160, 44]"
16,CD4+ T Cell_link,"[214, 39, 40]"
17,CD8+ T Cell_link,"[148, 103, 189]"
18,Endothelial_link,"[140, 86, 75]"
19,Lymphatic Endothelial Cell (and some immune cells)_link,"[227, 119, 194]"
20,Macrophage_link,"[127, 127, 127]"
21,Mast Cell_link,"[188, 189, 34]"
22,Neutrophil_link,"[23, 190, 207]"
23,Smooth Muscle Cell_link,"[174, 199, 232]"
24,Type 1 Alveolar Epithelial Cell_link,"[255, 187, 120]"
25,Type 2 Alveolar Epithelial Cell_link,"[152, 223, 138]"
